"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2023","113.70","110.70","114.10","109.40","9.13M","3.36%"
"10/25/2023","110.00","119.80","120.80","110.00","18.19M","-8.33%"
"10/24/2023","120.00","120.30","123.20","118.80","25.09M","1.61%"
"10/23/2023","118.10","119.00","124.30","114.30","26.26M","2.61%"
"10/20/2023","115.10","115.00","115.70","111.20","23.72M","-1.12%"
"10/19/2023","116.40","119.20","121.60","115.50","16.90M","-2.18%"
"10/18/2023","119.00","118.50","125.20","117.10","32.79M","-2.46%"
"10/17/2023","122.00","114.30","125.50","112.40","29.99M","6.92%"
"10/16/2023","114.10","120.60","122.70","113.80","21.92M","-4.44%"
"10/13/2023","119.40","123.10","123.80","119.00","19.03M","-3.40%"
"10/12/2023","123.60","128.50","129.90","119.60","20.74M","-1.12%"
"10/11/2023","125.00","129.10","129.40","124.20","17.92M","-3.10%"
"10/10/2023","129.00","124.90","132.30","124.70","29.55M","4.88%"
"10/09/2023","123.00","129.00","129.40","122.80","22.23M","-6.11%"
"10/06/2023","131.00","132.20","133.10","128.90","14.13M","-1.73%"
"10/05/2023","133.30","133.90","136.20","130.30","27.89M","0.45%"
"10/04/2023","132.70","135.60","135.80","132.20","18.48M","-2.07%"
"10/03/2023","135.50","134.60","139.00","133.10","29.14M","1.80%"
"10/02/2023","133.10","134.10","135.60","132.50","19.44M","-0.15%"
"09/29/2023","133.30","133.60","137.10","132.80","29.63M","0.00%"
"09/28/2023","133.30","136.80","136.80","132.10","20.97M","-2.91%"
"09/27/2023","137.30","136.70","139.90","135.80","25.12M","0.59%"
"09/26/2023","136.50","141.40","141.60","136.10","23.63M","-3.26%"
"09/25/2023","141.10","139.90","144.40","139.60","30.06M","1.22%"
"09/22/2023","139.40","140.60","146.00","138.70","54.43M","-0.78%"
"09/21/2023","140.50","131.50","143.00","130.60","41.63M","6.52%"
"09/20/2023","131.90","136.20","139.30","131.80","23.08M","-3.30%"
"09/19/2023","136.40","131.00","138.50","129.50","33.53M","4.12%"
"09/18/2023","131.00","138.70","139.30","131.00","19.82M","-5.76%"
"09/15/2023","139.00","140.00","141.00","135.60","25.73M","-0.29%"
"09/14/2023","139.40","136.30","139.40","129.40","30.41M","2.27%"
"09/13/2023","136.30","142.00","142.50","136.30","32.15M","-3.06%"
"09/12/2023","140.60","139.00","143.90","138.40","40.37M","1.15%"
"09/11/2023","139.00","146.00","147.10","138.70","26.89M","-3.41%"
"09/08/2023","143.90","143.50","149.80","139.50","37.56M","0.28%"
"09/07/2023","143.50","142.40","143.60","138.10","24.80M","1.41%"
"09/06/2023","141.50","145.80","147.20","140.90","28.59M","-1.67%"
"09/05/2023","143.90","144.90","146.50","141.70","44.85M","-0.69%"
"09/04/2023","144.90","142.80","151.40","141.10","59.16M","2.19%"
"09/01/2023","141.80","144.30","146.00","139.30","54.01M","-1.53%"
"08/31/2023","144.00","137.50","149.80","136.30","81.44M","5.73%"
"08/29/2023","136.20","138.70","140.40","133.50","48.69M","0.52%"
"08/28/2023","135.50","129.90","137.90","128.20","67.59M","8.05%"
"08/25/2023","125.40","118.00","125.40","111.20","54.19M","10.00%"
"08/24/2023","114.00","124.90","125.60","113.60","48.66M","-5.32%"
"08/23/2023","120.40","128.20","133.70","120.40","62.46M","-6.08%"
"08/22/2023","128.20","135.20","136.00","128.20","31.11M","-4.97%"
"08/21/2023","134.90","128.90","135.70","127.00","41.77M","3.85%"
"08/18/2023","129.90","136.20","138.00","126.30","37.14M","-3.42%"
"08/17/2023","134.50","130.00","137.70","127.70","48.47M","2.44%"
"08/16/2023","131.30","139.00","139.20","131.00","52.25M","-5.81%"
"08/15/2023","139.40","139.10","145.00","134.70","83.06M","-0.43%"
"08/14/2023","140.00","133.00","142.20","131.00","91.65M","8.28%"
"08/11/2023","129.30","120.70","129.60","119.30","74.72M","7.21%"
"08/10/2023","120.60","122.50","124.90","114.50","66.90M","2.99%"
"08/09/2023","117.10","115.80","125.00","114.50","93.93M","1.74%"
"08/08/2023","115.10","107.40","116.30","104.40","70.23M","7.27%"
"08/07/2023","107.30","113.00","114.50","107.30","34.70M","-4.20%"
"08/04/2023","112.00","113.50","115.90","108.10","54.13M","-1.06%"
"08/03/2023","113.20","114.50","118.80","112.50","69.47M","-0.96%"
"08/02/2023","114.30","112.80","120.10","111.70","68.00M","1.06%"
"08/01/2023","113.10","111.40","120.50","106.90","107.12M","1.53%"
"07/31/2023","111.40","105.50","111.40","104.70","61.12M","9.97%"
"07/28/2023","101.30","101.70","105.60","98.80","56.33M","0.00%"
"07/27/2023","101.30","105.00","107.50","101.30","55.57M","-1.65%"
"07/26/2023","103.00","100.30","106.50","93.90","103.78M","3.00%"
"07/25/2023","100.00","112.40","113.10","97.55","125.92M","-6.28%"
"07/24/2023","106.70","102.50","106.70","102.00","18.71M","10.00%"
"07/21/2023","97.00","91.40","98.65","91.30","119.15M","8.14%"
"07/20/2023","89.70","83.45","89.70","82.80","94.06M","9.99%"
"07/19/2023","81.55","77.80","82.70","75.25","71.88M","4.75%"
"07/18/2023","77.85","82.30","82.65","77.85","42.49M","-5.00%"
"07/17/2023","81.95","82.50","84.15","81.75","41.36M","0.55%"
"07/14/2023","81.50","84.00","84.70","81.50","46.36M","-2.10%"
"07/13/2023","83.25","79.90","86.05","79.55","109.26M","4.26%"
"07/12/2023","79.85","80.10","82.35","79.15","61.27M","-0.31%"
"07/11/2023","80.10","81.95","82.90","79.40","76.53M","-1.42%"
"07/10/2023","81.25","81.90","84.35","79.50","98.59M","-0.49%"
"07/07/2023","81.65","79.00","84.75","77.60","106.00M","4.88%"
"07/06/2023","77.85","72.00","77.85","70.90","64.15M","9.96%"
"07/05/2023","70.80","69.05","70.85","68.20","49.42M","3.51%"
"07/04/2023","68.40","69.00","70.75","66.40","69.24M","-0.29%"
"07/03/2023","68.60","67.85","71.40","67.45","84.17M","3.24%"
"06/27/2023","66.45","60.50","66.45","59.40","46.96M","9.93%"
"06/26/2023","60.45","56.35","61.40","56.10","57.80M","8.14%"
"06/23/2023","55.90","53.50","56.65","53.40","36.57M","5.77%"
"06/22/2023","52.85","51.30","53.40","50.65","25.27M","3.12%"
"06/21/2023","51.25","52.65","53.45","50.40","25.35M","-0.97%"
"06/20/2023","51.75","53.95","54.15","51.35","24.93M","-4.17%"
"06/19/2023","54.00","57.10","57.85","54.00","62.27M","0.00%"
"06/16/2023","54.00","53.35","54.00","52.00","47.39M","1.79%"
"06/15/2023","53.05","53.10","53.80","52.55","19.74M","1.05%"
"06/14/2023","52.50","51.80","53.65","50.85","41.14M","1.65%"
"06/13/2023","51.65","53.90","54.85","51.65","36.91M","-4.09%"
"06/12/2023","53.85","52.50","54.90","51.85","44.79M","3.16%"
"06/09/2023","52.20","53.85","54.00","51.75","21.28M","-2.43%"
"06/08/2023","53.50","54.40","54.75","53.20","20.23M","-1.83%"
"06/07/2023","54.50","55.00","55.90","53.95","27.59M","0.93%"
"06/06/2023","54.00","56.35","56.50","53.80","23.22M","-4.00%"
"06/05/2023","56.25","56.00","57.00","55.45","33.29M","1.81%"
"06/02/2023","55.25","56.00","56.45","54.45","31.28M","0.09%"
"06/01/2023","55.20","53.10","56.90","53.10","60.06M","5.14%"
"05/31/2023","52.50","52.90","54.10","51.80","36.62M","-0.76%"
"05/30/2023","52.90","53.60","54.15","52.35","36.10M","-0.38%"
"05/29/2023","53.10","52.00","54.20","51.30","37.93M","5.36%"
"05/26/2023","50.40","50.05","50.80","49.00","22.93M","1.00%"
"05/25/2023","49.90","49.20","51.20","49.06","32.54M","1.92%"
"05/24/2023","48.96","51.30","51.45","48.56","26.54M","-4.00%"
"05/23/2023","51.00","51.90","53.00","49.90","39.67M","0.69%"
"05/22/2023","50.65","49.10","51.80","48.74","45.14M","3.79%"
"05/18/2023","48.80","52.00","52.40","47.62","54.73M","-5.97%"
"05/17/2023","51.90","48.20","51.90","48.00","49.13M","9.91%"
"05/16/2023","47.22","43.20","47.22","43.20","50.00M","9.97%"
"05/15/2023","42.94","41.30","46.08","39.60","38.60M","1.56%"
"05/12/2023","42.28","44.00","44.32","41.82","25.59M","-2.49%"
"05/11/2023","43.36","41.50","44.38","40.94","41.18M","6.12%"
"05/10/2023","40.86","41.58","42.94","40.20","28.71M","-1.68%"
"05/09/2023","41.56","44.00","44.72","41.40","19.25M","-5.55%"
"05/08/2023","44.00","44.52","45.92","43.00","26.52M","-1.17%"
"05/05/2023","44.52","45.20","48.38","42.12","68.19M","-1.50%"
"05/04/2023","45.20","41.00","45.20","40.12","36.18M","9.98%"
"05/03/2023","41.10","45.40","45.64","41.10","39.27M","-9.99%"
"05/02/2023","45.66","49.62","49.62","45.30","21.59M","-6.99%"
"04/28/2023","49.09","50.46","50.80","47.98","17.07M","-2.71%"
"04/27/2023","50.46","48.58","50.56","48.04","30.20M","4.08%"
"04/26/2023","48.48","48.52","51.05","46.66","48.66M","0.16%"
"04/25/2023","48.40","50.46","50.56","48.18","19.73M","-4.45%"
"04/24/2023","50.65","51.45","52.14","50.11","18.11M","-1.06%"
"04/20/2023","51.20","52.04","52.19","50.85","8.48M","0.29%"
"04/19/2023","51.05","52.14","52.58","50.85","14.44M","-1.99%"
"04/18/2023","52.09","52.04","53.52","49.52","33.65M","0.10%"
"04/17/2023","52.04","54.17","54.51","51.94","18.38M","-3.13%"
"04/14/2023","53.72","53.42","54.71","52.83","26.74M","0.84%"
"04/13/2023","53.28","54.22","54.71","51.74","27.30M","-0.28%"
"04/12/2023","53.42","54.31","56.05","52.98","28.36M","-1.55%"
"04/11/2023","54.27","56.24","57.08","53.67","40.71M","-3.35%"
"04/10/2023","56.14","55.75","58.62","54.91","34.79M","0.09%"
"04/07/2023","56.10","57.38","58.52","55.55","38.10M","-3.49%"
"04/06/2023","58.12","56.39","59.26","55.50","51.55M","3.07%"
"04/05/2023","56.39","53.13","57.63","51.89","70.48M","6.24%"
"04/04/2023","53.08","48.72","53.18","45.01","81.80M","8.91%"
"04/03/2023","48.73","51.45","51.94","48.73","39.79M","-6.79%"
"03/31/2023","52.29","52.43","53.33","48.97","57.58M","-1.40%"
"03/30/2023","53.03","53.28","55.70","51.74","55.07M","-0.46%"
"03/29/2023","53.28","51.40","56.64","48.68","136.40M","-1.46%"
"03/28/2023","54.07","60.00","60.20","54.07","78.35M","-9.97%"
"03/27/2023","60.05","63.81","64.06","60.05","66.78M","-5.01%"
"03/24/2023","63.22","62.58","64.41","61.09","104.19M","2.49%"
"03/23/2023","61.69","60.60","63.42","58.17","106.49M","3.06%"
"03/22/2023","59.85","63.32","66.78","59.85","106.72M","-3.97%"
"03/21/2023","62.33","56.54","63.42","53.77","156.85M","7.78%"
"03/20/2023","57.83","64.80","65.69","57.83","140.66M","-9.94%"
"03/17/2023","64.21","60.35","64.21","59.56","100.53M","10.00%"
"03/16/2023","58.37","53.97","58.37","53.42","93.34M","9.97%"
"03/15/2023","53.08","52.48","54.02","51.45","69.68M","1.71%"
"03/14/2023","52.19","53.42","55.25","50.75","91.61M","-1.86%"
"03/13/2023","53.18","52.04","53.97","50.65","97.47M","2.97%"
"03/10/2023","51.64","49.47","52.58","48.68","107.71M","6.53%"
"03/09/2023","48.48","45.59","48.48","44.12","100.60M","6.29%"
"03/08/2023","45.61","48.18","51.69","45.61","128.28M","-5.42%"
