"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2023","274.10","265.90","275.50","259.60","4.33M","4.54%"
"10/25/2023","262.20","289.20","300.30","261.50","9.52M","-9.34%"
"10/24/2023","289.20","286.40","304.40","277.80","12.55M","3.29%"
"10/23/2023","280.00","264.50","280.00","255.60","8.58M","9.98%"
"10/20/2023","254.60","267.90","268.90","254.60","5.82M","-6.74%"
"10/19/2023","273.00","282.40","285.00","270.80","4.33M","-2.43%"
"10/18/2023","279.80","282.60","287.30","279.60","4.09M","-4.11%"
"10/17/2023","291.80","282.00","296.40","274.20","7.75M","4.03%"
"10/16/2023","280.50","302.30","304.40","278.50","6.09M","-4.36%"
"10/13/2023","293.30","301.50","304.30","292.00","4.44M","-2.46%"
"10/12/2023","300.70","318.30","321.60","292.80","8.40M","-2.08%"
"10/11/2023","307.10","320.20","324.00","307.10","9.38M","-2.94%"
"10/10/2023","316.40","292.90","316.40","292.90","2.52M","9.98%"
"10/09/2023","287.70","299.10","302.70","287.30","4.67M","-6.44%"
"10/06/2023","307.50","313.90","317.70","306.60","4.94M","-3.45%"
"10/05/2023","318.50","302.10","318.50","300.30","9.99M","5.81%"
"10/04/2023","301.00","309.50","315.90","300.00","5.06M","-2.75%"
"10/03/2023","309.50","321.80","325.00","308.50","6.06M","-3.43%"
"10/02/2023","320.50","333.00","334.30","320.00","5.20M","-3.75%"
"09/29/2023","333.00","337.00","338.90","323.80","10.59M","1.22%"
"09/28/2023","329.00","326.00","332.90","320.00","8.12M","0.58%"
"09/27/2023","327.10","321.00","340.00","318.10","11.68M","2.06%"
"09/26/2023","320.50","336.60","345.30","320.50","12.20M","-4.78%"
"09/25/2023","336.60","337.00","351.00","329.40","17.82M","5.32%"
"09/22/2023","319.60","302.30","319.60","301.10","3.96M","9.98%"
"09/21/2023","290.60","263.50","290.60","260.00","9.17M","9.99%"
"09/20/2023","264.20","277.90","279.90","264.10","4.70M","-4.93%"
"09/19/2023","277.90","260.70","280.90","256.80","8.74M","5.79%"
"09/18/2023","262.70","277.00","277.00","262.70","4.15M","-5.84%"
"09/15/2023","279.00","281.90","282.20","273.20","4.69M","-1.03%"
"09/14/2023","281.90","272.00","281.90","263.60","8.42M","3.83%"
"09/13/2023","271.50","281.10","283.50","269.90","8.76M","-1.77%"
"09/12/2023","276.40","281.10","285.30","275.80","8.01M","-1.53%"
"09/11/2023","280.70","279.50","289.00","275.00","9.46M","1.41%"
"09/08/2023","276.80","282.30","283.20","276.50","4.02M","-1.95%"
"09/07/2023","282.30","282.20","290.00","277.10","8.17M","0.71%"
"09/06/2023","280.30","294.30","295.00","280.00","9.30M","-3.78%"
"09/05/2023","291.30","273.10","296.90","272.10","17.03M","6.70%"
"09/04/2023","273.00","270.50","280.00","269.30","7.80M","1.11%"
"09/01/2023","270.00","275.60","278.60","269.70","5.04M","-1.82%"
"08/31/2023","275.00","279.00","286.90","271.20","8.85M","-1.43%"
"08/29/2023","279.00","294.00","295.00","277.00","7.77M","-3.29%"
"08/28/2023","288.50","288.00","297.00","284.10","10.25M","5.48%"
"08/25/2023","273.50","250.50","273.50","247.00","9.53M","9.97%"
"08/24/2023","248.70","262.40","269.90","248.70","7.36M","-4.71%"
"08/23/2023","261.00","273.00","282.50","261.00","9.72M","-3.12%"
"08/22/2023","269.40","255.40","276.60","249.40","17.62M","6.06%"
"08/21/2023","254.00","258.80","265.40","249.10","10.65M","-1.93%"
"08/18/2023","259.00","270.30","273.00","247.20","8.49M","-2.74%"
"08/17/2023","266.30","264.70","277.00","260.00","7.02M","0.64%"
"08/16/2023","264.60","272.00","280.80","258.40","12.87M","-2.93%"
"08/15/2023","272.60","289.50","293.00","267.10","8.61M","-5.84%"
"08/14/2023","289.50","286.00","300.80","282.30","16.66M","5.85%"
"08/11/2023","273.50","265.20","274.90","262.90","10.22M","3.13%"
"08/10/2023","265.20","275.50","285.60","258.00","14.32M","-2.25%"
"08/09/2023","271.30","275.10","291.00","268.00","20.99M","1.27%"
"08/08/2023","267.90","243.70","267.90","237.20","16.96M","9.98%"
"08/07/2023","243.60","247.20","256.50","236.00","12.89M","-1.38%"
"08/04/2023","247.00","254.50","262.00","242.20","19.05M","-1.87%"
"08/03/2023","251.70","236.70","251.70","236.70","20.57M","9.96%"
"08/02/2023","228.90","215.90","228.90","211.50","16.71M","10.00%"
"08/01/2023","208.10","209.00","225.50","202.20","16.44M","-0.86%"
"07/31/2023","209.90","197.80","209.90","197.80","9.12M","9.95%"
"07/28/2023","190.90","194.00","196.50","190.00","6.49M","1.54%"
"07/27/2023","188.00","195.00","197.30","186.30","8.58M","-3.09%"
"07/26/2023","194.00","201.00","206.80","191.50","15.18M","-3.48%"
"07/25/2023","201.00","222.70","222.70","201.00","13.43M","-9.99%"
"07/24/2023","223.30","207.00","223.30","207.00","13.00M","10.00%"
"07/21/2023","203.00","195.20","210.40","191.20","13.49M","4.00%"
"07/20/2023","195.20","184.60","197.30","180.40","13.84M","7.02%"
"07/19/2023","182.40","184.90","184.90","177.40","10.75M","6.36%"
"07/18/2023","171.50","184.90","186.90","170.00","7.66M","-5.87%"
"07/17/2023","182.20","176.40","184.80","176.00","9.29M","5.62%"
"07/14/2023","172.50","168.20","176.00","164.00","6.26M","2.68%"
"07/13/2023","168.00","168.30","175.70","167.00","5.47M","-0.18%"
"07/12/2023","168.30","174.20","174.70","167.80","4.74M","-3.25%"
"07/11/2023","173.95","179.84","184.54","172.85","7.12M","-0.51%"
"07/10/2023","174.85","165.26","178.85","163.56","9.66M","7.16%"
"07/07/2023","163.16","160.86","167.06","159.86","5.35M","2.26%"
"07/06/2023","159.56","163.46","165.66","158.96","5.07M","-1.72%"
"07/05/2023","162.36","165.86","166.86","159.36","5.59M","-2.13%"
"07/04/2023","165.90","159.20","171.90","158.90","10.28M","6.07%"
