"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2023","209.400","205.000","210.000","203.300","19.78M","3.15%"
"10/25/2023","203.000","219.700","224.200","203.000","50.99M","-6.88%"
"10/24/2023","218.000","213.700","219.000","211.800","45.91M","2.01%"
"10/23/2023","213.700","211.900","215.200","208.000","40.03M","3.19%"
"10/20/2023","207.100","210.400","211.200","205.200","35.36M","-3.04%"
"10/19/2023","213.600","216.600","221.100","213.000","40.25M","-1.34%"
"10/18/2023","216.500","219.700","221.300","216.100","29.18M","-3.82%"
"10/17/2023","225.100","223.700","225.900","220.000","33.80M","0.94%"
"10/16/2023","223.000","228.000","228.300","222.000","31.82M","0.36%"
"10/13/2023","222.200","223.800","224.200","219.400","28.48M","-1.29%"
"10/12/2023","225.100","233.600","235.000","218.700","37.19M","-2.17%"
"10/11/2023","230.100","237.100","237.400","229.400","24.97M","-3.36%"
"10/10/2023","238.100","231.200","238.500","230.200","33.00M","4.80%"
"10/09/2023","227.200","232.500","233.200","227.200","30.46M","-4.70%"
"10/06/2023","238.400","238.500","242.900","238.300","30.71M","-1.28%"
"10/05/2023","241.500","240.400","243.800","232.900","42.59M","1.26%"
"10/04/2023","238.500","248.000","249.000","237.500","37.30M","-3.71%"
"10/03/2023","247.700","253.500","255.600","247.000","43.11M","-2.25%"
"10/02/2023","253.400","242.500","255.200","241.400","62.37M","4.49%"
"09/29/2023","242.500","246.000","249.700","240.600","52.54M","-0.29%"
"09/28/2023","243.200","231.000","246.100","230.900","98.23M","5.56%"
"09/27/2023","230.400","227.900","234.900","227.900","45.04M","1.27%"
"09/26/2023","227.500","232.500","236.800","227.300","48.96M","-2.15%"
"09/25/2023","232.500","227.000","233.200","226.200","46.70M","2.83%"
"09/22/2023","226.100","233.000","233.900","226.100","28.62M","-2.79%"
"09/21/2023","232.600","222.000","232.900","218.300","45.21M","4.16%"
"09/20/2023","223.300","226.200","228.200","221.500","48.97M","2.15%"
"09/19/2023","218.600","218.300","222.800","214.600","40.50M","0.23%"
"09/18/2023","218.100","227.200","228.600","216.500","39.41M","-3.96%"
"09/15/2023","227.100","236.000","236.000","227.100","37.30M","-4.78%"
"09/14/2023","238.500","231.800","238.700","227.000","33.87M","2.93%"
"09/13/2023","231.700","236.500","238.300","230.800","24.85M","-1.82%"
"09/12/2023","236.000","235.000","243.200","232.800","34.85M","0.64%"
"09/11/2023","234.500","244.200","244.600","232.700","29.23M","-3.62%"
"09/08/2023","243.300","245.100","249.600","243.300","28.73M","-0.53%"
"09/07/2023","244.600","245.000","247.500","242.900","25.08M","-0.16%"
"09/06/2023","245.000","252.500","252.700","245.000","27.52M","-2.78%"
"09/05/2023","252.000","252.600","254.400","249.100","24.84M","-0.28%"
"09/04/2023","252.700","255.700","258.600","251.700","37.82M","-0.51%"
"09/01/2023","254.000","245.100","255.500","241.700","46.45M","3.67%"
"08/31/2023","245.000","249.200","252.800","245.000","24.65M","-1.17%"
"08/29/2023","247.900","256.000","256.000","246.100","28.51M","-3.16%"
"08/28/2023","256.000","240.000","257.000","239.800","49.13M","7.56%"
"08/25/2023","238.000","232.000","239.200","227.300","35.70M","3.25%"
"08/24/2023","230.500","240.200","250.200","229.300","57.99M","-3.84%"
"08/23/2023","239.700","255.400","256.200","239.500","44.68M","-5.96%"
"08/22/2023","254.900","259.500","263.700","253.200","47.24M","-1.58%"
"08/21/2023","259.000","250.400","259.600","248.500","47.45M","3.02%"
"08/18/2023","251.400","263.000","263.600","249.900","35.00M","-4.08%"
"08/17/2023","262.100","254.900","262.100","253.200","37.91M","2.99%"
"08/16/2023","254.500","260.000","260.500","254.500","29.17M","-2.00%"
"08/15/2023","259.700","262.800","265.100","256.300","39.23M","-0.65%"
"08/14/2023","261.400","267.000","267.400","260.400","39.00M","-1.62%"
"08/11/2023","265.700","259.100","265.700","257.100","51.01M","2.79%"
"08/10/2023","258.500","263.700","269.700","257.500","57.11M","-0.58%"
"08/09/2023","260.000","257.900","264.200","252.600","55.72M","-0.69%"
"08/08/2023","261.800","267.700","269.800","258.600","52.41M","-1.91%"
"08/07/2023","266.900","250.000","269.100","249.900","61.18M","7.27%"
"08/04/2023","248.800","235.500","251.200","234.900","61.52M","5.87%"
"08/03/2023","235.000","237.000","238.400","234.000","33.33M","-0.63%"
"08/02/2023","236.500","231.000","239.100","230.300","39.49M","2.38%"
"08/01/2023","231.000","232.400","235.100","230.700","28.56M","-1.41%"
"07/31/2023","234.300","235.800","236.600","232.600","39.36M","-0.30%"
"07/28/2023","235.000","229.200","237.600","228.400","52.65M","2.84%"
"07/27/2023","228.500","225.000","228.700","222.500","41.66M","1.96%"
"07/26/2023","224.100","217.000","224.100","215.800","31.82M","3.13%"
"07/25/2023","217.300","222.000","223.100","217.300","53.51M","-2.03%"
"07/24/2023","221.800","224.300","226.800","220.600","44.53M","-0.81%"
"07/21/2023","223.600","225.200","225.500","222.100","33.46M","-0.71%"
"07/20/2023","225.200","224.600","227.200","222.500","51.94M","0.72%"
"07/19/2023","223.600","213.900","224.300","213.100","56.92M","4.49%"
"07/18/2023","214.000","219.300","221.000","213.500","48.49M","-2.19%"
"07/17/2023","218.800","216.000","219.000","214.700","45.57M","2.48%"
"07/14/2023","213.500","211.300","214.700","211.200","38.80M","1.91%"
"07/13/2023","209.500","211.000","213.700","208.600","34.63M","-0.66%"
"07/12/2023","210.900","215.500","215.600","210.900","32.29M","-2.04%"
"07/11/2023","215.300","218.100","218.300","214.600","34.85M","0.33%"
"07/10/2023","214.600","216.500","217.700","213.000","40.70M","-0.28%"
"07/07/2023","215.200","216.200","218.200","214.600","32.10M","-0.65%"
