id,gender,country,age,box_cox,median,coefficient,p_2,p_3,p_5,p_10,p_25,p_50,p_75,p_80,p_90,p_95,p_97,p_98,p_85,created_at,updated_at,type
3564,f,AUS,24,-0.98660853,16.42339664,0.085451785,,14.1473467,14.39787089,14.80134054,15.52807587,16.42339664,17.42745659,,18.44139317,19.10623522,19.56410958,,18.01820579,2016-06-19T11:35:04.198Z,2016-06-19T11:35:04.198Z,BmiChart
3565,f,AUS,24.5,-1.024496827,16.38804056,0.085025838,,14.13226271,14.3801866,14.77964811,15.49975639,16.38804056,17.38581552,,18.39526372,19.05823845,19.51534333,,17.97371413,2016-06-19T11:35:04.207Z,2016-06-19T11:35:04.207Z,BmiChart
3566,f,AUS,25.5,-1.102698353,16.3189719,0.084214052,,14.10240814,14.34527262,14.73694628,15.44421901,16.3189719,17.30484811,,18.30610782,18.9659499,19.42197989,,17.88748812,2016-06-19T11:35:04.211Z,2016-06-19T11:35:04.211Z,BmiChart
3567,f,AUS,26.5,-1.18396635,16.25207985,0.083455124,,14.07297394,14.31096806,14.6951581,15.39014846,16.25207985,17.2269319,,18.22103253,18.87853388,19.33410382,,17.80489051,2016-06-19T11:35:04.216Z,2016-06-19T11:35:04.216Z,BmiChart
3568,f,AUS,27.5,-1.268071036,16.18734669,0.082748284,,14.04396337,14.27727686,14.65428696,15.33754218,16.18734669,17.15202498,,18.13997016,18.79590999,19.25163039,,17.72586396,2016-06-19T11:35:04.220Z,2016-06-19T11:35:04.220Z,BmiChart
3569,f,AUS,28.5,-1.354751525,16.12475448,0.082092737,,14.01538008,14.24420303,14.61433601,15.28639717,16.12475448,17.08008556,,18.06285334,18.71799839,19.17447582,,17.65035137,2016-06-19T11:35:04.224Z,2016-06-19T11:35:04.224Z,BmiChart
3570,f,AUS,29.5,-1.443689692,16.06428762,0.081487717,,13.98722569,14.21174909,14.57530775,15.23671134,16.06428762,17.01107457,,17.98961595,18.64471845,19.10255392,,17.57829774,2016-06-19T11:35:04.229Z,2016-06-19T11:35:04.229Z,BmiChart
3571,f,AUS,30.5,-1.53454192,16.00593001,0.080932448,,13.95950246,14.17991775,14.53720437,15.18848189,16.00593001,16.94495296,,17.92019231,18.5759903,19.03577948,,17.50964839,2016-06-19T11:35:04.233Z,2016-06-19T11:35:04.233Z,BmiChart
3572,f,AUS,31.5,-1.626928093,15.94966631,0.080426175,,13.93221207,14.14871111,14.50002752,15.14170598,15.94966631,16.88168308,,17.85451773,18.51173402,18.97406651,,17.44434994,2016-06-19T11:35:04.238Z,2016-06-19T11:35:04.238Z,BmiChart
3573,f,AUS,32.5,-1.720434829,15.89548197,0.079968176,,13.90535562,14.11813062,14.46377827,15.09638064,15.89548197,16.82122877,,17.79252859,18.45186978,18.91732801,,17.38235043,2016-06-19T11:35:04.242Z,2016-06-19T11:35:04.242Z,BmiChart
3574,f,AUS,33.5,-1.814635262,15.84336179,0.079557735,,13.87893492,14.08817793,14.42845728,15.05250203,15.84336179,16.763554,,17.73416201,18.39631848,18.86547771,,17.32359846,2016-06-19T11:35:04.247Z,2016-06-19T11:35:04.247Z,BmiChart
3575,f,AUS,34.5,-1.909076262,15.79329146,0.079194187,,13.852951,14.0588539,14.39406456,15.01006617,15.79329146,16.70862449,,17.67935646,18.34500099,18.81842784,,17.26804436,2016-06-19T11:35:04.251Z,2016-06-19T11:35:04.251Z,BmiChart
3576,f,AUS,35.5,-2.003296102,15.7452564,0.078876895,,13.82740517,14.03015932,14.36059959,14.96906838,15.7452564,16.65640663,,17.62805146,18.29783876,18.7760905,,17.21563951,2016-06-19T11:35:04.256Z,2016-06-19T11:35:04.256Z,BmiChart
3577,f,AUS,36.5,-2.096828937,15.69924188,0.078605255,,13.80229888,14.00209476,14.32806133,14.92950329,15.69924188,16.60686761,,17.5801877,18.25475381,18.73837743,,17.16633643,2016-06-19T11:35:04.260Z,2016-06-19T11:35:04.260Z,BmiChart
3578,f,AUS,37.5,-2.189211877,15.65523282,0.078378696,,13.77763382,13.97466073,14.29644823,14.89136478,15.65523282,16.55997523,,17.53570705,18.21566879,18.70520011,,17.12008872,2016-06-19T11:35:04.264Z,2016-06-19T11:35:04.264Z,BmiChart
3579,f,AUS,38.5,-2.279991982,15.61321371,0.078196674,,13.75341201,13.94785767,14.26575827,14.85464591,15.61321371,16.51569783,,17.49455256,18.18050711,18.67646985,,17.07685104,2016-06-19T11:35:04.269Z,2016-06-19T11:35:04.269Z,BmiChart
3580,f,AUS,39.5,-2.368732949,15.57316843,0.078058667,,13.72963586,13.92168608,14.23598902,14.81933896,15.57316843,16.4740041,,17.45666842,18.14919304,18.65209796,,17.03657894,2016-06-19T11:35:04.273Z,2016-06-19T11:35:04.273Z,BmiChart
3581,f,AUS,40.5,-2.455021314,15.53508019,0.077964169,,13.70630824,13.89614655,14.20713766,14.78543535,15.53508019,16.43486298,,17.42199993,18.12165176,18.63199585,,16.99922885,2016-06-19T11:35:04.278Z,2016-06-19T11:35:04.278Z,BmiChart
3582,f,AUS,41.5,-2.538471972,15.49893145,0.077912684,,13.68343254,13.87123981,14.17920105,14.75292568,15.49893145,16.39824347,,17.39049347,18.09780945,18.61607518,,16.96475788,2016-06-19T11:35:04.282Z,2016-06-19T11:35:04.282Z,BmiChart
